2007_SiteID,SITE_ID,VISIT_NO,UID,DATE_COL,AGGR_ECO3_2015,AGGR_ECO9_2015,AREA_HA,AREACLS,BORD_LAKE,CAT_UNIQUE,CH0712_CAT,CH0712_USE,CH0712_WGT,CNTYNAME,COMID2007,COMID2012,COMIDS2007,DES_FTYPE,DSGN12,ELEVATION,EPA_REG,EVAL_NAME,EVALSTAT,FEOW_ID,FS_EW,FW_ECO3,FW_ECO9,GNIS_ID,GNIS_NAME,HUC2,HUC8,LAKE_ORIGIN,LAKE_ORIGIN12,LAT_DD83,LON_DD83,MAJ_BASIN,MDCATY,MISS_BASIN,NA_L1CODE,NA_L2CODE,NA_L3CODE,NARS_NAME,NES_LAKE,NESLAKE_ID,NESSTORET,OWN_TYPE,OWNSHP,PANEL,PERIM_KM,RCHCODE,RT_NLA12,SITESAMP,SITETYPE,SIZE_CLASS,ST_DSGN,ST_MDCATY,ST_PANEL,ST_SITEID,ST_STRATUM,ST_WGT_ALL,ST_WGT_CAT,ST_WGT_DSGN,STATE,STATE_NLA,STATE_PCNT,STATECTY,STATUS,STATUS_ST,STRATUM,TNT,TNT_ST,URBAN,US_L3CODE,US_L3CODE_2015,US_L4CODE,US_L4CODE_2015,WGT_ALL,WGT_CAT,WGT_DSGN,XCOORD,YCOORD,ECO_BIO,IM_COMMENT,2012_Chloride,2007_Chloride,chloride_Difference
NLA06608-0285,NLA12_DE-104,1,8115,8/20/2012 0:00,PLNLOW,CPL,34.45884719,C:10-50,No,NLA07RVT,NLA07_RVT12,Include,15.47940839,SUSSEX,8390908,8390908,8390908,Lake/Pond: Hydrographic Category = Perennial,Included,1.55,Region_3,Records Pond,TargetSampleable,158,,PLNLOW,CPL,214521,Records Pond,2,2060008,MAN_MADE,MAN_MADE,38.55949766,-75.56233222,2,NonREF07,No,8,8.5,8.5.1,Records Pond,,,,Non Federal,Non-Federal,NLA07RVT,4.701420891,2.06E+12,S,Y,PROB,"(20,50]",,,,NLA12_DE-104,DE_NLA07RVT,0,,0,DE,DE,100,10005,Target_Sampled,,DE_NLA07RVT,Target,,Yes,63,63,63f,63f,15.47940839,DE_>4,2,1750640.771,307723.828,CPL,,13.761,13.037,0.724
NLA06608-0286,NLA12_MI-118,1,1000106,7/31/2012 0:00,PLNLOW,UMW,55.62427711,D:50-100,No,NLA07RVT,NLA07_RVT12,Include,117.5669489,IRON,14442904,14442904,14442904,Lake/Pond: Hydrographic Category = Perennial,Included,497.39,Region_5,Silver Lake,TargetSampleable,116,,PLNLOW,UMW,626122,Silver Lake,4,4030106,NATURAL,NATURAL,46.1517719,-88.83001694,4,NonREF07,No,5,5.2,5.2.1,Silver Lake,,,,Non Federal,National Forest FS,NLA07RVT,4.034213353,4.03E+12,S,Y,PROB,>50,Included,NonREF07,NLA07RVT,NLA12_MI-118,MI_NLA07RVT,41,MI_>50,2,MI,MI,100,26071,Target_Sampled,Target_Sampled,MI_NLA07RVT,Target,Target,No,50,50,50j,50j,117.5669489,MI_>4,2.235294118,554405.0938,987840.1238,UMW,,0.755,0.765,-0.01
NLA06608-0295,NLA12_SD-104,1,6445,6/6/2012 0:00,PLNLOW,TPL,18.43116769,C:10-50,No,NLA07RVT,NLA07_RVT12,Include,302.3513263,DAY,11599461,11599461,11599461,Lake/Pond: Hydrographic Category = Perennial,Included,532.26,Region_8,Unnamed,TargetSampleable,143,,PLNLOW,TPL,,,10,10160010,NATURAL,NATURAL,45.18757228,-97.63194667,10,NonREF07,Yes,9,9.2,9.2.1,,,,,Non Federal,Non-Federal,NLA07RVT,1.593375145,1.02E+13,S,Y,PROB,"(10,20]",,,,NLA12_SD-104,SD_NLA07RVT,0,,0,SD,SD,100,46037,Target_Sampled,,SD_NLA07RVT,Target,,No,46,46,46k,46k,302.3513263,SD_>4,2.846153846,-128140.0168,860902.7344,PLAINS,,12.017,15.036,-3.019
NLA06608-0299,NLA12_IN-114,1,8822,8/16/2012 0:00,PLNLOW,UMW,37.52285966,,No,NLA07RVT,NLA07_RVT12,Include,31.46598573,NOBLE,12265230,12265230,12265230,Lake/Pond: Hydrographic Category = Perennial,Included,304.03,Region_5,Round Lake,AccessDenied,116,,PLNLOW,UMW,442354,Round Lake,4,4050001,NATURAL,NATURAL,41.45498362,-85.24255829,4,NonREF07,No,8,8.1,8.1.6,Round Lake,,,,Non Federal,Non-Federal,NLA07RVT,4.226689964,4.05E+12,,N,PROB,"(20,50]",,,,NLA12_IN-114,IN_NLA07RVT,0,,0,IN,IN,100,18113,Target_Denied,,IN_NLA07RVT,Target_Presumed,,Yes,56,56,56a,56a,31.46598573,IN_>4,2.9375,889974.2218,493565.7402,UMW,EVALSTAT changed (TargetSampleable).  Access denied on day of visit,,38.01,-38.01
NLA06608-0301,NLA12_VA-127,1,7963,8/15/2012 0:00,PLNLOW,CPL,35.26673368,C:10-50,No,NLA12NEW_07RVT,NLA12_RVT07,Include,28.73571413,DINWIDDIE,8718163,8718163,8718163,Lake/Pond: Hydrographic Category = Perennial,Included,45.37,Region_3,Jordon Lake,TargetSampleable,157,,PLNLOW,CPL,1468879,Jordon Lake,3,3010201,MAN_MADE,MAN_MADE,37.15479457,-77.52050059,3,"(20,50]",No,8,8.3,8.3.5,Jordon Lake,,,,Non Federal,Non-Federal,NLA12ST,3.543631027,3.01E+12,S,Y,PROB,"(20,50]",,,,NLA12_VA-127,VA_NLA12NEW,0,,0,VA,VA,100,51053,Target_Sampled,,VA_NLA12NEW,Target,,Yes,65,65,65m,65m,28.73571413,VA_>4,19.85714286,1615563.952,118887.5933,CPL,,4.432,,4.432
NLA06608-0303,NLA12_OH-104,1,8151,8/22/2012 0:00,PLNLOW,TPL,80.71893983,D:50-100,No,NLA07RVT,NLA07_RVT12,Include,31.11033857,HURON,15603972,15603972,15603972,Lake/Pond: Hydrographic Category = Perennial,Included,249.78,Region_5,Holiday Lake,TargetSampleable,116,,PLNLOW,TPL,1078002,Holiday Lake,4,4100012,MAN_MADE,RESERVOIR,41.08846075,-82.7290152,4,NonREF07,No,8,8.2,8.2.4,Holiday Lake,NESLake,3930,3930,Non Federal,Non-Federal,NLA07RVT,11.27852132,4.10E+12,S,Y,PROB,>50,,,,NLA12_OH-104,OH_NLA07RVT,0,,0,OH,OH,100,39077,Target_Sampled,,OH_NLA07RVT,Target,,Yes,55,55,55a,55a,31.11033857,OH_>4,2.714285714,1102409.106,479208.3119,PLAINS,,58.33,55.069,3.261
NLA06608-0306,NLA12_OR-102,1,7810,8/9/2012 0:00,WMTNS,XER,107.8297854,E:100-500,No,NLA07RVT,NLA07_RVT12,Include,14.9151949,HARNEY,24023037,24023037,24023037,Lake/Pond: Hydrographic Category = Perennial,Included,1268.55,Region_10,Moon Reservoir,TargetSampleable,124,,WMTNS,XER,,,17,17120004,MAN_MADE,RESERVOIR,43.41399799,-119.4104723,17,NonREF07,No,10,10.1,10.1.3,,,,,BLM,Public Domain Land BLM,NLA07RVT,11.28290806,CID=919640006,T,Y,PROB,>50,,,,NLA12_OR-102,OR_NLA07RVT,0,,0,OR,OR,100,41025,Target_Sampled,,OR_NLA07RVT,Target,,No,80,80,80g,80g,14.9151949,OR_>4,2.166666667,-1867937.636,893393.2316,WMTNS,,3.325,3.189,0.136
NLA06608-0324,NLA12_VA-104,1,7410,7/25/2012 0:00,EHIGH,SAP,29.68265713,C:10-50,No,NLA07RVT,NLA07_RVT12,Include,47.31527597,RUSSELL,14638645,14638645,14638645,Lake/Pond: Hydrographic Category = Perennial,Included,469.85,Region_3,Lake Bonaventure,TargetSampleable,152,,EHIGH,SAP,1501956,Lake Bonaventure,6,6010205,MAN_MADE,MAN_MADE,36.94402045,-82.20326629,05_06,NonREF07,Yes,8,8.4,8.4.2,Lake Bonaventure,,,,Non Federal,Non-Federal,NLA07RVT,3.491105923,6.01E+12,T,Y,PROB,"(20,50]",,,,NLA12_VA-104,VA_NLA07RVT,0,,0,VA,VA,100,51167,Target_Sampled,,VA_NLA07RVT,Target,,No,69,69,69d,69d,47.31527597,VA_>4,1.75,1212967.098,25900.5994,EHIGH,,5.372,8.531,-3.159
NLA06608-0327,NLA12_MS-101,1,6534,6/9/2012 0:00,PLNLOW,CPL,41.31889755,C:10-50,No,NLA07RVT,NLA07_RVT12,Include,181.7692234,ADAMS,19120628,19120628,19120628,Lake/Pond: Hydrographic Category = Perennial,Included,16.5,Region_4,Thornburg Lake,TargetSampleable,149,,PLNLOW,CPL,678722,Thornburg Lake,8,8060204,NATURAL,NATURAL,31.70540961,-91.3744959,8,NonREF07,Yes,8,8.5,8.5.2,Thornburg Lake,,,,Non Federal,Non-Federal,NLA07RVT2,8.245881839,8.06E+12,S,Y,PROB,"(20,50]",,,,NLA12_MS-101,MS_NLA07RVT,0,,0,MS,MS,100,28001,Target_Sampled,,MS_NLA07RVT,Target,,Yes,73,73,73a,73a,181.7692234,MS_>4,1.333333333,436418.5422,-637195.8568,CPL,,20.091,11.649,8.442
NLA06608-0332,NLA12_OK-107,1,7959,8/14/2012 0:00,EHIGH,SAP,5210.838212,F:500+,No,NLA07RVT,NLA07_RVT12,Include,1.519730888,CHEROKEE,402142,399680,402142,Lake/Pond: Hydrographic Category = Perennial; Stage = Average Water Elevation,Included,182.13,Region_6,Tenkiller Ferry Lake,TargetSampleable,146,,EHIGH,SAP,,Tenkiller Ferry Lake,11,11110103,MAN_MADE,RESERVOIR,35.75411523,-94.91494418,11,OK_GT500,Yes,8,8.4,8.4.6,Tenkiller Ferry Lake,NESLake,4013,4013,US FWS,Army Corps of Engineers DOD,NLA07RVT,230.2224731,1.11E+13,S,Y,PROB,>50,Included,OK_GT500,NLA07RVT,OK121700020020_00,OK_NLA07RVT_OKSF_GT500,1,OK_OK_GT500,1,OK,OK,100,40021,Target_Sampled,Target_Sampled,OK_NLA07RVT_OKSF_GT500,Target,Target,Yes,38,39,38b,39b,1.519730888,OK_>4,1,97250.36755,-195025.8439,EHIGH,POLY_MATCH changed (NO).  Fixed in analysis frame.,10,8.737,1.263
NLA06608-0334,NLA12_ND-106,1,6981,7/5/2012 0:00,PLNLOW,TPL,501.2988305,F:500+,No,NLA07RVT,NLA07_RVT12,Include,234.2803929,MCHENRY,14152626,14152626,14152626,Lake/Pond: Hydrographic Category = Perennial; Stage = Average Water Elevation,Included,450.56,Region_8,Buffalo Lodge Lake,TargetSampleable,109,,PLNLOW,TPL,1034744,Buffalo Lodge Lake,9,9010005,NATURAL,NATURAL,48.327049,-100.7569373,9,NonREF07,No,9,9.2,9.2.1,Buffalo Lodge Lake,,,,Non Federal,Non-Federal,NLA07RVT,14.23616177,9.01E+12,S,Y,PROB,>50,,,,NLA12_ND-106,ND_NLA07RVT,0,,0,ND,ND,100,38049,Target_Sampled,,ND_NLA07RVT,Target,,No,46,46,46d,46d,234.2803929,ND_>4,2.642857143,-355982.9879,1216330.101,PLAINS,,36.229,57.658,-21.429
NLA06608-0343,NLA12_SD-103,1,8266,8/28/2012 0:00,PLNLOW,TPL,427.2452702,E:100-500,No,NLA07RVT,NLA07_RVT12,Include,81.1953635,DEUEL,4110960,4110960,4110960,Lake/Pond: Hydrographic Category = Perennial; Stage = Average Water Elevation,Included,530.52,Region_8,Lake Alice,TargetSampleable,148,,PLNLOW,TPL,1253614,Lake Alice,7,7020003,NATURAL,NATURAL,44.87790723,-96.63402874,7,NonREF07,Yes,9,9.2,9.2.1,Lake Alice,,,,Non Federal,Non-Federal,NLA07RVT,11.53423062,7.02E+12,S,Y,PROB,>50,,,,NLA12_SD-103,SD_NLA07RVT,0,,0,SD,SD,100,46039,Target_Sampled,,SD_NLA07RVT,Target,,No,46,46,46k,46k,81.1953635,SD_>4,2.846153846,-50015.72296,825513.1026,PLAINS,,13.381,14.166,-0.785
NLA06608-0350,NLA12_WI-106,1,1000188,8/28/2012 0:00,PLNLOW,UMW,35.28672369,C:10-50,No,NLA07RVT,NLA07_RVT12,Include,416.7172224,PRICE,12991497,12991497,12991497,Lake/Pond: Hydrographic Category = Perennial,Included,442.81,Region_5,Price Lake,TargetSampleable,148,,PLNLOW,UMW,1571930,Price Lake,7,7050003,NATURAL,NATURAL,45.76452987,-90.66040551,7,NonREF07,Yes,5,5.2,5.2.1,Price Lake,,,,Non Federal,Non-Federal,NLA07RVT,2.249213192,7.05E+12,S,Y,PROB,"(20,50]",,NonREF07,NLA07RVT,NLA12_WI-106,WI_NLA07RVT,0,,3,WI,WI,100,55099,Target_Sampled,,WI_NLA07RVT,Target,,No,50,50,50g,50g,416.7172224,WI_>4,2.625,415462.3549,935604.765,UMW,,1.5,0.401,1.099
NLA06608-0357,NLA12_MA-103,1,8613,9/17/2012 0:00,EHIGH,NAP,58.46346487,D:50-100,No,NLA07RVT,NLA07_RVT12,Include,130.3530924,BERKSHIRE,6098005,6098005,6098005,Lake/Pond: Hydrographic Category = Perennial; Stage = Average Water Elevation,Included,536.84,Region_1,Buckley Dunton Lake,TargetSampleable,118,,EHIGH,NAP,617962,Buckley Dunton Lake,1,1080206,MAN_MADE,RESERVOIR,42.31302099,-73.13713927,1,NonREF07,No,5,5.3,5.3.1,Buckley Dunton Lake,,,,Non Federal,Non-Federal,NLA07RVT,5.075888956,1.08E+12,R,Y,PROB,>50,,,,NLA12_MA-103,MA_NLA07RVT,0,,0,MA,MA,100,25003,Target_Sampled,,MA_NLA07RVT,Target,,No,58,58,58c,58c,130.3530924,MA_AllSites,2.75,1854409.767,763281.6637,EHIGH,,3.107,3.401,-0.294
NLA06608-0358,NLA12_NH-102,1,7104,7/11/2012 0:00,EHIGH,NAP,13.10744099,C:10-50,No,NLA07RVT,NLA07_RVT12,Include,187.0910369,COOS,19334091,19334091,19334091,Lake/Pond: Hydrographic Category = Perennial,Included,444.3,Region_1,Little Greenough Pond,TargetSampleable,118,,EHIGH,NAP,868060,Little Greenough Pond,1,1040001,NATURAL,NATURAL,44.84033593,-71.13438995,1,REF07,No,5,5.3,5.3.1,Little Greenough Pond,,,,Non Federal,Non-Federal,NLA07RVT,1.502314021,1.04E+12,S,Y,PROB,"(10,20]",,,,NLA12_NH-102,NH_NLA07RVT,0,,0,NH,NH,100,33007,Target_Sampled,,NH_NLA07RVT,Target,,No,58,58,58m,58m,187.0910369,NH_>4,2,1940329.031,1076467.551,EHIGH,,0.215,0.219,-0.004
NLA06608-0359,NLA12_MN-119,1,7737,8/7/2012 0:00,PLNLOW,TPL,4821.588144,F:500+,Yes,NLA07RVT,NLA07_RVT12,Include,5.9182122,BIG STONE,6681084,167122203,6681084,Lake/Pond: Hydrographic Category = Perennial; Stage = Average Water Elevation,Included,294.63,Region_5,Big Stone Lake,TargetSampleable,148,,PLNLOW,TPL,640135,Big Stone Lake,7,7020001,MAN_MADE,MAN_MADE,45.40861219,-96.62584248,7,NonREF07,Yes,9,9.2,9.2.1,Big Stone Lake,NESLake,2709,2709,Non Federal,Non-Federal,NLA07RVT,102.7742856,7.02E+12,S,Y,PROB,>50,Included,NonREF07,NLA07RVT,NLA12_MN-119,MN_NLA07RVT,10,MN_Nut6_>50,2,MN,MN:SD,51,46109,Target_Sampled,Target_Sampled,MN_NLA07RVT,Target,Target,No,46,46,46e,46e,5.9182122,MN_>4,1.80952381,-48981.1791,884542.9512,PLAINS,LAKE_ORIGIN changed (NATURAL),16.47,12.814,3.656
NLA06608-0363,NLA12_MI-112,1,1000080,7/19/2012 0:00,PLNLOW,UMW,195.7958733,E:100-500,No,NLA07RVT,NLA07_RVT12,Include,12.79786549,ST JOSEPH,15677567,15677567,15677567,Lake/Pond: Hydrographic Category = Perennial,Included,258.64,Region_5,Palmer Lake,TargetSampleable,116,,PLNLOW,UMW,,,4,4050001,NATURAL,NATURAL_ENH,41.94278644,-85.31406375,4,NonREF07,No,8,8.1,8.1.6,Palmer Lake,NESLake,2692,2692,Non Federal,Non-Federal,NLA07RVT,11.53051229,4.05E+12,T,Y,PROB,>50,Included,NonREF07,NLA07RVT,NLA12_MI-112,MI_NLA07RVT,5,MI_>50,2,MI,MI,100,26149,Target_Sampled,Target_Sampled,MI_NLA07RVT,Target,Target,No,56,56,56b,56b,12.79786549,MI_>4,2.235294118,877958.6917,547138.6346,UMW,Polygon includes Long Lake,21.185,22.426,-1.241
NLA06608-0376,NLA12_OK-104,1,6669,6/19/2012 0:00,PLNLOW,SPL,4212.857956,F:500+,No,NLA07RVT,NLA07_RVT12,Include,6.601996359,OSAGE,847580,999990128,847548 ; 847580,Lake/Pond: Hydrographic Category = Perennial,Included,217.74,Region_6,Skiatook Lake,TargetSampleable,146,,PLNLOW,SPL,1100124,Skiatook Lake,11,11070107,MAN_MADE,RESERVOIR,36.38379515,-96.26625326,11,OK_GT500,Yes,9,9.4,9.4.5,Skiatook Lake,,,,Tribal Land - US Census,Army Corps of Engineers DOD,NLA07RVT,292.9479637,1.11E+13,S,Y,PROB,>50,Included,OK_GT500,NLA07RVT,OK121300040080_00,OK_NLA07RVT_OKSF_GT500,6,OK_OK_GT500,1,OK,OK,100,40113,Target_Sampled,Target_Sampled,OK_NLA07RVT_OKSF_GT500,Target,Target,No,29,29,29a,29a,6.601996359,OK_>4,1,-23666.42028,-125031.3202,PLAINS,,30.6,26.447,4.153
NLA06608-0378,NLA12_MT-104,1,6542,6/12/2012 0:00,PLNLOW,NPL,532.2072995,F:500+,No,NLA07RVT,NLA07_RVT12,Include,6.113320325,LEWIS AND CLARK,12394688,12394688,12394688,Lake/Pond: Hydrographic Category = Perennial; Stage = Normal Pool,Included,1264,Region_8,Willow Creek Reservoir,TargetSampleable,142,,PLNLOW,NPL,801708,Willow Creek Reservoir,10,10030104,MAN_MADE,RESERVOIR,47.55763659,-112.4485198,10,NonREF07,Yes,9,9.3,9.3.1,Willow Creek Reservoir,,,,Non Federal,Bureau of Reclamation BOR,NLA07RVT,16.38113097,1.00E+13,R,Y,PROB,>50,,,,NLA12_MT-104,MT_NLA07RVT,0,,0,MT,MT,100,30049,Target_Sampled,,MT_NLA07RVT,Target,,No,42,42,42q,42q,6.113320325,MT_>4,2.461538462,-1239906.766,1230126.292,PLAINS,,1.576,1.272,0.304
NLA06608-0385,NLA12_MT-107,1,7022,7/9/2012 0:00,PLNLOW,NPL,39.84092601,C:10-50,No,NLA07RVT,NLA07_RVT12,Include,15.03551325,PONDERA,12537926,12537926,12537926,Lake/Pond: Hydrographic Category = Perennial,Included,1469.29,Region_8,Green Lake,TargetSampleable,142,,PLNLOW,NPL,795537,Green Lake,10,10030201,MAN_MADE,MAN_MADE,48.24309476,-112.86716,10,NonREF07,Yes,9,9.3,9.3.1,Green Lake,,,,Tribal Land - US Census,Indian Reservation,NLA07RVT,2.792300909,1.00E+13,R,Y,PROB,"(20,50]",,,,NLA12_MT-107,MT_NLA07RVT,0,,0,MT,MT,100,30073,Target_Sampled,,MT_NLA07RVT,Target,,No,42,42,42q,42q,15.03551325,MT_>4,2.461538462,-1257785.939,1310085.074,PLAINS,,4.459,6.756,-2.297
NLA06608-0388,NLA12_KY-101,1,6284,5/24/2012 0:00,EHIGH,SAP,90.55714639,D:50-100,No,NLA07RVT,NLA07_RVT12,Include,6.220450868,BELL,10187680,10187680,10187680,Lake/Pond: Hydrographic Category = Perennial,Included,390.75,Region_4,Cannon Creek Lake,TargetSampleable,151,,EHIGH,SAP,488886,Cannon Creek Lake,5,5130101,MAN_MADE,MAN_MADE,36.67911865,-83.71182785,05_06,REF07,Yes,8,8.4,8.4.2,Cannon Creek Lake,,,,Non Federal,Non-Federal,NLA07RVT2,10.45708467,5.13E+12,R,Y,PROB,>50,,,,NLA12_KY-101,KY_NLA07RVT,0,,0,KY,KY,100,21013,Target_Sampled,,KY_NLA07RVT,Target,,Yes,69,69,69e,69e,6.220450868,KY_>4,1,1084951.704,-21739.58792,EHIGH,,0.644,0.774,-0.13
NLA06608-0394,NLA12_WY-R04,1,7932,8/14/2012 0:00,WMTNS,WMT,2.829814724,A:1-4,No,,,,,TETON,2966382,2966382,2966382,Lake/Pond: Hydrographic Category = Perennial,Excluded,2394.04,Region_8,NO NAME,TargetSampleable,142,,WMTNS,WMT,,,10,10070001,NATURAL,NATURAL,44.49478161,-110.4302646,10,,Yes,6,6.2,6.2.10,,,,,US NPS,National Park NPS,,0.693952133,1.01E+13,S,Y,HAND,,,,,NLA12_WY-R04,,0,,0,WY,WY,100,56039,Target_Sampled,,,Target,,No,17,17,17j,17j,,,0,-1140432.223,869433.2554,WMTNS,LAKE_ORIGIN inferred from HYDRO_TYPE and OUTLET_DAMS,0.377,,0.377
NLA06608-0401,NLA12_ME-108,1,8407,9/5/2012 0:00,EHIGH,NAP,2677.178363,F:500+,No,NLA07RVT,NLA07_RVT12,Include,9.081937449,AROOSTOOK,723898,723898,723898,Lake/Pond: Hydrographic Category = Perennial,Included,177.26,Region_1,Long Lake,TargetSampleable,118,,EHIGH,NAP,570232,Long Lake,1,1010003,NATURAL,NATURAL,47.17249324,-68.24525882,1,NonREF07,No,8,8.1,8.1.8,Long Lake,NESLake,2313,2313,Non Federal,Non-Federal,NLA07RVT,53.32502067,1.01E+12,T,Y,PROB,>50,,,,NLA12_ME-108,ME_NLA07RVT,0,,0,ME,ME,100,23003,Target_Sampled,,ME_NLA07RVT,Target,,No,82,82,82b,82b,9.081937449,ME_>4,1,2085156.491,1386658.202,EHIGH,,3.08,3.779,-0.699
NLA06608-0405,NLA12_PA-105,1,7113,7/10/2012 0:00,EHIGH,NAP,12.61952818,C:10-50,No,NLA07RVT,NLA07_RVT12,Include,126.7339878,SUSQUEHANNA,8088311,8088311,8088311,Lake/Pond: Hydrographic Category = Perennial,Included,408.87,Region_3,Turners Pond,TargetSampleable,158,,EHIGH,NAP,,,2,2050101,MAN_MADE,RESERVOIR,41.97143708,-75.87981792,2,NonREF07,No,8,8.1,8.1.3,,,,,Non Federal,Non-Federal,NLA07RVT,1.39942886,2.05E+12,S,Y,PROB,"(10,20]",,,,NLA12_PA-105,PA_NLA07RVT,0,,0,PA,PA,100,42115,Target_Sampled,,PA_NLA07RVT,Target,,Yes,60,60,60b,60b,126.7339878,PA_>4,2.571428571,1643545.357,675567.3437,EHIGH,,2.21,1.458,0.752
NLA06608-0414,NLA12_WI-105,1,1000224,8/30/2012 0:00,PLNLOW,UMW,19.57569431,,No,NLA07RVT,NLA07_RVT12,Include,640.9445005,WASHBURN,1849933,1849933,1849933,Lake/Pond: Hydrographic Category = Perennial,Included,368.16,Region_5,,Nontarget-NotLake,148,,PLNLOW,UMW,,,7,7030002,NATURAL,NATURAL,46.13099234,-91.60870009,7,REF07,Yes,5,5.2,5.2.1,,,,,Non Federal,Non-Federal,NLA07RVT,1.805806791,7.03E+12,,N,PROB,"(10,20]",,REF07,NLA07RVT,NLA12_WI-105,WI_NLA07RVT,0,,3,WI,WI,100,55129,Not_Lake,,WI_NLA07RVT,NonTarget,,No,50,50,50e,50e,640.9445005,WI_>4,2.666666667,339856.6911,972464.0445,UMW,Lake was drained,,0.233,-0.233
NLA06608-0425,NLA12_UT-108,1,6227,5/17/2012 0:00,WMTNS,WMT,144.3154115,E:100-500,No,NLA07RVT,NLA07_RVT12,Include,10.98141883,SEVIER,10804459,10804459,10804459,Lake/Pond: Hydrographic Category = Perennial; Stage = Normal Pool,Included,2132,Region_8,Koosharem Reservoir,TargetSampleable,127,,WMTNS,WMT,1442363,Koosharem Reservoir,16,16030002,MAN_MADE,RESERVOIR,38.60046835,-111.841172,16,NonREF07,No,6,6.2,6.2.13,Koosharem Reservoir,,,,Non Federal,Non-Federal,NLA07RVT,6.780685461,1.60E+13,S,Y,PROB,>50,Included,NonREF07,NLA07RVT,NLA12_UT-108,UT_NLA07RVT,10,UT_>50,3,UT,UT,100,49041,Target_Sampled,Target_Sampled,UT_NLA07RVT,Target,Target,No,19,19,19g,19g,10.98141883,UT_>4,2.625,-1360346.729,236984.3669,WMTNS,,8.545,6.821,1.724
NLA06608-0432,NLA12_MS-107,1,6414,6/4/2012 0:00,PLNLOW,CPL,3907.840954,F:500+,No,NLA07RVT,NLA07_RVT12,Include,9.774284905,DESOTO,15252778,15252778,15252778,Lake/Pond: Hydrographic Category = Perennial; Stage = Average Water Elevation,Included,65.5,Region_4,Arkabutla Lake,TargetSampleable,149,,PLNLOW,CPL,690215,Arkabutla Lake,8,8030204,MAN_MADE,MAN_MADE,34.7222327,-90.07422849,8,NonREF07,Yes,8,8.3,8.3.6,Arkabutla Lake,NESLake,2801,2801,Non Federal,Army Corps of Engineers DOD,NLA07RVT,102.3632228,8.03E+12,T,Y,PROB,>50,,,,NLA12_MS-107,MS_NLA07RVT,0,,0,MS,MS,100,28033,Target_Sampled,,MS_NLA07RVT,Target,,Yes,74,74,74b,74b,9.774284905,MS_>4,1.333333333,537972.8768,-294281.14,CPL,,5.399,3.999,1.4
NLA06608-0433,NLA12_VT-103,1,7520,7/30/2012 0:00,EHIGH,NAP,107359.9005,F:500+,Yes,NLA07RVT,NLA07_RVT12,Include,22.5834189,ESSEX,15447630,15447630,15447630,Lake/Pond: Hydrographic Category = Perennial; Stage = Average Water Elevation,Included,28.85,Region_1,Lake Champlain,TargetSampleable,117,,EHIGH,NAP,,,2,2010008,NATURAL,NATURAL,44.67386066,-73.36140792,2,NonREF07,No,8,8.1,8.1.1,Lake Champlain,,5001,5001,Non Federal,Non-Federal,NLA07RVT,962.1652051,2.01E+12,S,Y,PROB,>50,Included,NonREF07,NLA07RVT,NLA12_VT-103,VT_NLA07RVT,7,VT_>50,3,VT,VT:NY,71,50007,Target_Sampled,Target_Sampled,VT_NLA07RVT,Target,Target,Yes,83,83,83b,83b,22.5834189,VT_>4,2.666666667,1774389.536,1014979.318,EHIGH,,12.571,13.296,-0.725
NLA06608-0445,NLA12_OH-103,1,6923,7/2/2012 0:00,EHIGH,SAP,43.0430055,C:10-50,No,NLA07RVT,NLA07_RVT12,Include,133.6314581,BELMONT,19453325,19453325,19453325,Lake/Pond: Hydrographic Category = Perennial,Included,322.66,Region_5,Belmont Lake,TargetSampleable,150,,EHIGH,SAP,1078131,Belmont Lake,5,5030106,MAN_MADE,RESERVOIR,40.03999071,-81.01388786,05_06,NonREF07,Yes,8,8.4,8.4.3,Belmont Lake,,,,Non Federal,Non-Federal,NLA07RVT,6.510774129,5.03E+12,S,Y,PROB,"(20,50]",,,,NLA12_OH-103,OH_NLA07RVT,0,,0,OH,OH,100,39013,Target_Sampled,,OH_NLA07RVT,Target,,Yes,70,70,70a,70a,133.6314581,OH_>4,2.714285714,1262211.153,384400.0399,EHIGH,,25.721,32.875,-7.154
NLA06608-0447,NLA12_KY-103,1,6303,5/25/2012 0:00,EHIGH,SAP,70.45611645,D:50-100,No,NLA07RVT,NLA07_RVT12,Include,24.88180347,GREENUP,1935812,1935812,1935812,Lake/Pond: Hydrographic Category = Perennial,Included,182.27,Region_4,Greenbo Lake,TargetSampleable,150,,EHIGH,SAP,493306,Greenbo Lake,5,5090104,MAN_MADE,MAN_MADE,38.48626189,-82.87261725,05_06,NonREF07,Yes,8,8.4,8.4.3,Greenbo Lake,,,,Non Federal,Non-Federal,NLA07RVT,10.58987903,5.09E+12,S,Y,PROB,>50,,,,NLA12_KY-103,KY_NLA07RVT,0,,0,KY,KY,100,21089,Target_Sampled,,KY_NLA07RVT,Target,,No,70,70,70f,70f,24.88180347,KY_>4,4,1130704.327,188760.5209,EHIGH,,3.166,3.648,-0.482
